R	53.3725	-6.29869	D915	15 Feb 2025	D915\n13:17 - Dublin Connolly to Maynooth (1 mins late)\nDeparted Broombridge next stop Pelletstown	Northbound
R	53.3776	-6.39072	P753	15 Feb 2025	P753\n13:08 - Maynooth to Dublin Connolly (0 mins late)\nArrived Coolmine next stop Castleknock	Southbound
R	53.3786	-6.19131	D812	15 Feb 2025	D812\n13:18 - Dublin Connolly to Drogheda (0 mins late)\nDeparted Harmonstown next stop Howth Junction	Northbound
R	53.387	-6.16163	E962	15 Feb 2025	E962\n12:48 - Dun Laoghaire to Howth (-1 mins late)\nDeparted Kilbarrack next stop Howth Junction	Northbound
R	53.3909	-6.15672	E427	15 Feb 2025	E427\n13:19 - Howth to Dun Laoghaire (0 mins late)\nArrived Howth Junction next stop Kilbarrack	Southbound
R	53.4157	-6.83395	A907	15 Feb 2025	A907\n11:05 - Sligo to Dublin Connolly (1 mins late)\nDeparted Enfield next stop Kilcock	Southbound
R	53.4509	-6.15649	P714	15 Feb 2025	P714\n12:48 - Drogheda to Dublin Connolly (0 mins late)\nDeparted Malahide next stop Portmarnock	Southbound
R	53.6794	-6.24253	A114	15 Feb 2025	A114\n12:50 - Dublin Connolly to Belfast (2 mins late)\nDeparted Laytown next stop Drogheda	Northbound
R	53.9383	-8.10657	A904	15 Feb 2025	A904\n11:05 - Dublin Connolly to Sligo (0 mins late)\nDeparted Carrick on Shannon next stop Boyle	Northbound
R	54.0007	-6.41291	A112	15 Feb 2025	A112\n11:50 - Dublin Connolly to Belfast (0 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A113	15 Feb 2025	A113\n12:00 - Belfast to Dublin Connolly (1 mins late)\nDeparted Dundalk next stop Drogheda	Southbound
R	54.0887	-8.52088	A909	15 Feb 2025	A909\n13:05 - Sligo to Dublin Connolly (2 mins late)\nArrived Ballymote next stop Boyle	Southbound
T	52.5009	-8.20003	A435	15 Feb 2025	A435\n12:55 - Limerick to Limerick Junction(2 mins late)\nTERMINATED Limerick Junction at 13:25	To Limerick Junction
T	53.0371	-7.30086	D210	15 Feb 2025	D210\n12:15 - Dublin Heuston to Portlaoise(-2 mins late)\nTERMINATED Portlaoise at 13:23	To Portlaoise
T	53.2951	-6.13498	E424	15 Feb 2025	E424\n12:33 - Malahide to Dun Laoghaire(-3 mins late)\nTERMINATED Dun Laoghaire at 13:23	Southbound
T	53.3531	-6.24591	P752	15 Feb 2025	P752\n12:38 - Maynooth to Dublin Connolly(-1 mins late)\nTERMINATED Dublin Connolly at 13:20	Southbound
T	53.378	-6.58993	D914	15 Feb 2025	D914\n12:47 - Dublin Connolly to Maynooth(-2 mins late)\nTERMINATED Maynooth at 13:27	Northbound
T	53.4349	-6.46898	D336	15 Feb 2025	D336\n13:16 - Clonsilla to M3 Parkway(-2 mins late)\nTERMINATED M3 Parkway at 13:25	Northbound
T	53.4509	-6.15649	E863	15 Feb 2025	E863\n12:33 - Dun Laoghaire to Malahide(2 mins late)\nTERMINATED Malahide at 13:26	Northbound
T	53.712	-6.33538	D810	15 Feb 2025	D810\n12:18 - Dublin Connolly to Drogheda(5 mins late)\nTERMINATED Drogheda at 13:25	Northbound
