R	53.3334	-6.40628	D212	15 Feb 2025	D212\n13:20 - Dublin Heuston to Portlaoise (0 mins late)\nArrived Clondalkin next stop Kishoge	To Portlaoise
R	53.3755	-6.33135	D915	15 Feb 2025	D915\n13:17 - Dublin Connolly to Maynooth (0 mins late)\nArrived Ashtown next stop Navan Road Parkway	Northbound
R	53.3909	-6.15672	D812	15 Feb 2025	D812\n13:18 - Dublin Connolly to Drogheda (-1 mins late)\nArrived Howth Junction next stop Clongriffin	Northbound
T	53.0371	-7.30086	D210	15 Feb 2025	D210\n12:15 - Dublin Heuston to Portlaoise(-2 mins late)\nTERMINATED Portlaoise at 13:23	To Portlaoise
T	53.378	-6.58993	D914	15 Feb 2025	D914\n12:47 - Dublin Connolly to Maynooth(-2 mins late)\nTERMINATED Maynooth at 13:27	Northbound
T	53.4349	-6.46898	D336	15 Feb 2025	D336\n13:16 - Clonsilla to M3 Parkway(-2 mins late)\nTERMINATED M3 Parkway at 13:25	Northbound
T	53.712	-6.33538	D810	15 Feb 2025	D810\n12:18 - Dublin Connolly to Drogheda(5 mins late)\nTERMINATED Drogheda at 13:25	Northbound
